new_words,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans
Refugee from Gmail in South Korea at Jeju Islands,-1.157,-1.072,-0.846,-1.24,2.061,2.232,1.405,-0.996,-1.257,-1.418,-1.321,-1.237,0.985,-0.021,-0.212,-1.495,2,3,1,1,1,1,2,4,2,1,2,1
to take hard jobs in the Dryland and they also complained about their,-1.57,-1.511,-1.534,-1.378,0.261,-0.557,-2.708,-1.966,-0.41,-0.102,-0.554,-0.595,0.185,2.529,0.91,-0.02,3,3,1,1,1,1,4,3,2,1,3,1
that North Koreans are currently we're at War stating their,-1.528,-1.51,-1.555,-1.32,-0.941,-1.185,-2.398,-1.536,-1.195,-1.419,-1.367,-1.023,-0.595,-0.762,-1.64,-1.753,3,3,1,1,1,1,3,3,1,1,1,1
and of course since they well at least,1.171,0.111,-0.531,-0.115,0.578,0.321,2.523,0.901,-1.235,-0.769,-1.203,-1.118,0.678,0.372,-0.11,-0.846,3,3,1,1,1,1,4,3,1,1,2,1
real refugees which like like their place to live and,-1.615,-1.369,-1.435,-1.376,-0.547,-0.807,-1.083,-1.801,-0.475,0.612,-0.559,-0.975,1.797,0.917,-1.553,-0.45,3,3,1,1,2,1,3,3,2,1,3,1
adults that the Korean government is not particular of its own citizens,0.336,-0.411,0.934,-0.244,-0.146,-0.284,-0.693,-0.509,-1.532,-1.52,-1.358,-1.247,-0.785,-1.022,-2.048,-1.855,3,3,1,1,2,1,3,3,1,1,1,1
collecting tangerines or something like that so I think it,-1.464,-1.334,-1.324,-1.201,0.053,0.382,-1.796,-1.818,-1.257,-1.561,-0.579,-1.287,-0.484,-0.539,-0.821,-1.781,2,3,2,1,1,1,2,3,2,1,2,1
"many refugees moving into those countries every year it's about 100,000 refugees were talking",-1.157,-1.143,-1.13,-1.154,0.918,-0.128,-0.713,-1.087,-0.991,-0.779,-0.73,-0.987,1.724,1.158,0.747,-0.56,3,4,1,1,1,1,3,4,1,1,1,1
of all you mentioned that,-1.068,-0.452,-1.184,-1.084,-0.684,-1.01,-0.803,-1.419,-0.364,-0.561,-0.95,-0.593,0.532,0.005,-0.117,-0.823,3,3,1,1,2,1,3,3,1,1,1,1
so this religious problem is due to Islam and like Islam has mainly two,-1.655,-1.404,-1.526,-1.37,-1.061,-1.116,-2.668,-1.873,-0.988,-0.813,-1.156,-1.153,0.654,1.65,-1.878,-1.476,3,4,1,1,1,1,4,3,2,1,1,1
decisions of politicians to change their stance if there is not it's not,-1.547,-0.892,-1.355,-1.163,-0.103,-0.676,0.622,-1.31,-1.622,-1.485,-1.556,-1.424,-0.504,-0.563,-2.821,-1.846,3,3,1,2,2,1,3,3,1,1,1,1
for Refugee and that and also because of this issue,-1.578,-1.451,-1.469,-1.397,-0.64,-0.841,-2.231,-1.778,-0.872,-0.474,-1.081,-1.127,0.68,-0.272,-0.455,-0.756,3,3,2,1,2,1,3,3,2,1,2,1
come to Korea they still holds that idea in their mind and,-1.374,-1.381,-1.434,-1.221,-0.53,-0.934,-2.181,-1.816,-0.97,-0.718,-1.208,-1.283,-0.268,-0.289,-1.876,-1.865,3,3,1,1,1,1,3,3,1,1,1,1
much racial diversity in their society and they have not received enough education,-1.381,-1.214,-1.309,-1.162,-0.609,-0.897,-1.908,-1.783,-1.523,-0.708,-1.272,-1.218,-0.122,-0.39,-1.303,-1.089,3,2,1,1,1,1,3,3,1,1,2,1
like influence to be,-0.048,-0.411,-1.129,-1.075,2.274,0.681,-0.025,-0.136,-1.518,-1.441,-1.496,-1.35,-0.742,-0.597,-0.728,-1.688,3,3,2,2,2,2,3,3,3,2,1,2
that was one of the basic human rights issues and the second point would be,-1.709,-1.627,-1.624,-1.42,-1.035,-1.329,-2.845,-2.025,-1.353,-1.101,-1.416,-1.336,-0.348,-0.632,-1.356,-1.65,3,3,1,1,1,1,4,2,1,1,2,1
if we can understand that ask me yes I,-1.374,-1.123,-1.297,-1.285,-0.741,-0.809,-1.409,-1.774,-1.24,-0.636,-1.183,-1.204,1.657,0.089,-0.532,-1.445,4,4,2,1,1,1,4,4,2,1,1,1
what you want to represent as you go to more than adding and subtracting,-1.263,-0.741,-1.259,-1.003,0.503,0.126,0.946,-0.944,-1.618,-1.589,-1.537,-1.389,-0.662,-0.872,-2.829,-2.033,3,3,1,2,2,2,3,3,2,1,2,1
to the way of Korea to say oh they're Market to,-0.176,-0.621,-0.968,-1.099,2.362,1.554,0.175,0.013,0.493,1.396,0.268,-0.052,2.397,3.64,2.212,0.359,3,3,1,2,2,1,3,3,1,2,2,1
you say we wait until,-1.66,-1.517,-0.933,-1.278,0.573,-0.308,-2.517,-1.896,-1.408,-1.314,-1.323,-1.205,-0.566,0.079,-0.954,-1.913,2,3,1,1,1,1,3,2,1,2,1,1
people are usually looking for Laura and jobs which in my opinion is actually complete opposite,-1.594,-1.306,-1.29,-1.317,0.566,-0.241,-2.587,-1.972,-1.49,-1.431,-1.449,-1.324,-0.079,-0.622,-2.433,-1.876,3,3,2,1,1,1,3,3,2,1,2,1
that many refugees because there are potential for racial discrimination and there's,-1.018,-1.096,-1.13,-1.05,-0.027,-0.179,-0.656,-1.099,-1.124,-1.352,-1.131,-1.194,0.922,0.733,1.744,-1.558,3,2,1,1,1,1,3,2,1,1,2,1
are they actually call themselves Muslims or do,-0.65,-1.249,-1.169,-1.013,0.767,0.749,-0.915,-0.204,-1.652,-1.305,-1.434,-1.431,0.156,-0.017,-1.945,-1.77,4,3,2,2,2,1,3,3,2,2,2,1
so thank talked about proof again,-1.495,-1.242,-1.404,-1.333,0.235,-0.718,-2.151,-1.867,-1.331,-1.202,-1.212,-1.234,-0.397,-0.898,-0.248,-1.36,3,3,2,1,1,1,3,3,2,1,2,1
once again the,-0.311,4.89,1.041,5.738,0.376,1.142,0.908,1.89,-1.541,-1.236,-1.319,-1.109,-0.11,-0.105,-2.007,-1.363,3,3,1,1,1,1,3,3,1,1,2,1
actually like the the other parts of the world like the other countries see Korea is like resist,-1.639,-1.542,-1.586,-1.408,-0.827,-1.072,-1.773,-1.874,-1.415,-1.362,-1.379,-1.197,0.112,0.209,-1.241,-1.814,3,3,2,1,2,1,3,3,2,1,2,1
also political with this is also Koreans are not away from,-1.436,-1.079,-1.355,-1.115,-0.476,-0.79,-1.995,-1.335,-1.278,-1.175,-1.227,-0.684,-0.423,-0.348,-0.769,-1.837,4,3,1,1,2,1,2,3,2,1,2,1
international conflict especially especially Innovative,-1.096,-0.441,-0.829,-0.896,3.297,1.566,0.6,-1.156,-1.564,-1.334,-1.262,-1.301,-0.39,-0.625,0.73,-1.567,2,3,1,1,1,1,3,3,1,1,1,1
so yeah I heard your points,-1.083,-0.389,-1.26,-0.967,1.225,0.593,-0.449,-0.538,-1.546,-1.441,-1.51,-1.346,-0.314,-0.751,-2.943,-1.968,2,2,1,1,2,1,3,3,1,1,1,1
about for European cases but for a career it's less than thousand and and I believe,-1.132,-1.203,-1.536,-1.287,-0.548,-0.645,-1.191,-1.4,-1.371,-1.253,-1.355,-1.028,-0.508,-0.438,-0.43,-1.238,3,4,1,1,1,1,3,4,1,1,1,1
they're more reluctant to accepting these people so it's hard to say is,-0.097,-0.831,-0.743,-0.93,-0.428,-0.901,-1.395,-0.907,-1.545,-1.464,-1.224,-1.304,0.347,-0.359,-2.4,-1.926,3,3,1,1,2,1,3,3,1,1,2,1
accept the refugees and therefore the law is not the issue if they're abusing the law we can change the law,-1.437,-0.803,-1.373,-1.275,0.731,-0.417,-0.254,-1.32,-1.524,-1.154,-1.428,-1.334,-0.545,-1.104,-1.387,-1.761,3,3,1,1,1,1,2,3,1,1,1,1
or even our parents were children so,-1.263,-1.191,-1.134,-1.071,-0.156,-0.241,-1.842,-1.056,-1.367,-1.142,-1.369,-1.243,-0.182,-0.928,-0.041,-0.789,2,3,1,1,2,1,2,3,2,1,2,1
that will rise for migration I think it's important to note that,-1.513,-1.446,-1.477,-1.35,-0.501,-0.68,-1.034,-1.46,-1.692,-1.388,-1.52,-1.404,0.838,-0.674,-1.613,-1.829,3,3,2,1,1,1,3,3,2,1,2,1
so it should pay more attention and make sure that it does not own citizens,0.089,-0.575,0.301,0.386,0.563,0.765,0.701,-0.316,-1.551,-1.37,-1.493,-1.007,-0.942,-1.047,-2.632,-1.912,3,3,1,1,2,1,3,3,1,1,1,1
I think they have the responsibility to take in the refugees SL pasta,-1.3,-0.986,-1.175,-1.085,0.753,0.514,-0.027,-0.487,-1.526,-1.464,-1.469,-1.348,-0.7,-0.857,-1.419,-1.697,3,3,1,1,2,1,2,3,1,1,1,1
there and continue living like this so it would be even,-0.903,-0.859,-1.31,-1.074,0.933,0.604,-1.1,-1.34,-0.711,-0.91,0.888,-0.657,5.237,11.599,-0.448,-0.73,3,3,2,1,1,1,2,3,2,1,2,1
Yemen refugees and they will be exposed to,-1.429,-1.44,-1.549,-1.301,-0.366,-0.997,-1.108,-1.915,-1.251,-0.664,-0.946,-1.269,1.113,-0.529,-0.915,-1.107,3,3,1,1,2,1,3,3,1,1,1,1
that means Yemen or Syria or something countries,-0.975,-0.476,-1.071,-1.27,1.853,1.496,-1.082,-1.066,-0.553,1.243,-0.544,-0.977,0.733,1.367,0.126,-0.334,3,3,1,1,2,1,3,3,1,2,2,1
from the refugees of Mayflower in 1620 from the English,-0.411,-0.429,-0.931,-1.133,2.679,0.934,-1.371,-1.17,-0.868,-0.727,-0.828,-0.784,1.095,0.632,-0.823,-0.781,2,2,1,1,3,1,2,3,1,1,1,1
he's escaped from their country because of the military service,-1.598,-1.322,-1.466,-1.346,-0.3,-0.604,-2.426,-1.819,-1.399,-1.217,-1.08,-1.241,-0.547,-0.672,-1.909,-1.426,3,3,1,1,2,1,3,3,2,1,2,1
for the Koreans it's hard to understand them and also,-1.377,-0.71,-1.444,-1.275,0.399,-0.401,0.289,-1.328,-1.475,-1.526,-1.548,-1.375,-0.807,-0.937,-1.89,-1.842,2,2,1,1,1,1,2,4,1,1,1,1
will affect more the unemployment of Koreans then it is now,-1.622,-1.521,-1.487,-1.405,-0.166,-0.528,-2.326,-1.794,-1.551,-1.485,-1.528,-1.359,-0.823,-0.911,-1.581,-1.743,3,3,2,2,2,1,3,3,2,1,2,1
this Asian side and even the oxide as well if we,-1.487,-1.393,-1.473,-1.031,-0.612,-1.022,-1.261,-0.654,-1.44,-1.382,-1.518,-1.393,-0.459,-0.954,-1.491,-1.747,3,3,2,1,1,1,3,3,2,1,3,1
my sentence or statement because and maybe it myself,-1.715,-1.559,-1.597,-1.41,-1.218,-1.332,-1.499,-2.008,-1.549,-1.534,-1.425,-1.173,-0.037,-0.557,-2.632,-1.944,3,4,2,1,1,1,4,3,2,1,2,1
they might read in some way or like some,-1.412,-1.458,-1.537,-1.399,-0.487,-1.043,-2.327,-1.797,-1.093,-1.182,-1.398,-1.208,-0.345,-0.745,-0.761,-1.219,3,4,2,2,2,1,2,3,2,1,2,1
you look at Germany for example they also have to war to begin development really quickly it wasn't,-1.537,-1.221,-1.307,-1.239,0.078,-0.314,-1.966,-1.74,-1.6,-1.558,-1.482,-1.324,-0.435,-0.758,-1.291,-1.743,3,3,2,1,2,1,3,3,1,1,2,1
and giving money to religious it's just the same way we are poor people don't have,-1.006,-0.309,-1.21,-0.948,0.868,0.154,0.6,-1.233,0.222,-0.021,0.417,0.127,3.347,2.371,0.888,0.829,2,2,1,1,2,1,3,3,1,1,1,1
work but as far as I know if they only,-1.352,-1.455,-1.491,-1.351,0.138,-0.563,-1.856,-1.101,-1.389,-1.143,-1.376,-1.156,-0.324,-0.953,-0.193,-1.799,2,3,1,1,1,1,3,4,1,2,1,1
Muslim people so I think that it should be break down as soon as possible,-1.026,-0.986,-1.126,-1.025,0.653,0.678,0.474,-1.028,-0.732,-0.936,-0.928,-0.743,-0.631,-0.547,0.094,-1.7,2,3,1,1,1,1,3,4,1,2,1,1
let me see not TRUE 382 diversion so,-1.66,-1.569,-1.462,-1.446,-0.442,-0.73,-2.253,-1.957,-1.545,-1.49,-1.433,-1.332,0.044,-0.389,-2.942,-2.029,3,4,2,2,2,1,3,3,2,1,1,1
they've protests on the streets many people are displeased that doesn't feel like and it's neat,-1.236,-1.065,-1.324,-1.209,0.092,0.586,0.068,-1.354,-1.443,-1.487,-1.499,-1.36,0.577,-0.331,-1.902,-1.708,3,3,2,1,1,1,3,3,2,1,2,1
in the world that was because of the refugees the USA has started,-0.342,-0.542,-0.865,-0.781,2.124,0.07,0.244,-0.68,1.675,0.546,0.259,0.024,4.289,5.368,0.752,0.872,2,2,1,1,2,1,2,3,1,1,1,1
of inside issues where we can really experience,-1.323,-1.434,-1.301,-1.341,-0.176,-0.688,-1.011,-1.866,-1.13,-1.428,-1.282,-1.032,-0.59,-0.72,-1.944,-1.576,3,2,1,1,1,1,3,3,2,2,2,1
of Malaysia and Germany but you have to consider that like cultural and the sentiment,-1.193,-1.209,-1.314,-1.215,-0.73,-0.588,-0.799,-1.599,-1.439,-1.286,-1.528,-1.372,-0.87,-1.098,-1.989,-1.722,2,3,1,1,2,1,2,3,1,1,1,1
lower as well and also we have to know that,-1.372,-0.709,-0.879,-0.491,0.451,0.109,0.159,-0.733,-0.217,-0.532,-0.447,-0.52,1.064,1.16,1.286,0.277,3,4,1,1,1,1,3,3,1,1,2,1
then look after the refugee refugees I know it's a great thing to help other people,-0.878,-0.642,-1.2,-1.135,1.209,0.032,0.374,-1.419,-1.516,-1.344,-1.138,-1.293,0.527,0.001,-1.809,-1.504,2,3,2,1,2,1,3,3,2,1,2,1
okay the first are maybe you cannot understand,-1.484,-1.519,-1.375,-1.31,0.431,-0.407,-0.421,-1.76,-1.464,-1.293,-1.336,-1.3,0.775,-0.473,-2.569,-1.363,3,4,2,1,1,1,4,3,2,1,2,1
exports the other countries as well so,-1.172,-1.065,-1.309,-1.266,-0.271,-0.229,-1.117,-1.697,-1.017,0.194,-1.116,-1.225,0.515,-0.149,-1.569,-0.106,2,3,1,1,1,1,3,3,2,1,3,1
already and the second point is,-0.35,-0.992,-0.789,-0.383,2.901,1.692,-0.545,0.663,-0.861,-1.107,-1.322,-1.129,-0.019,0.359,0.896,-1.788,2,3,1,1,2,1,3,3,1,1,2,1
we're not going to look at that it doesn't it's not a global agreement between all these countries therefore we're not going to receive any laundry doing so good,-1.558,-1.611,-1.511,-1.345,-0.36,-0.754,-2.638,-1.941,-1.269,-1.123,-1.264,-1.069,0.879,0.477,-1.558,-1.563,4,3,2,2,2,1,3,3,1,1,2,1
people who are all already inside the Jeju Island o Maryam and people,-0.639,-0.831,-1.101,-1.0,1.549,1.367,0.12,0.272,-1.32,-1.491,-1.414,-1.279,-0.7,-0.845,-2.743,-1.901,2,3,1,1,2,1,3,3,1,1,1,1
military service in their in their country,-1.607,-1.375,-1.583,-1.304,-0.723,-0.989,-2.226,-1.723,-1.267,-0.943,-1.155,-0.887,-0.033,-0.442,0.154,-1.102,3,3,1,1,2,1,2,3,2,1,2,1
although the government has taken the choice to sign the agreement the,0.965,0.159,0.963,0.835,0.739,1.274,-0.557,1.119,-1.471,-1.492,-1.478,-1.294,-0.507,-0.922,-2.286,-1.813,3,3,1,1,1,1,3,3,1,1,2,1
people from so I really like Merck like right Germany girls,-1.425,-1.236,-1.471,-1.361,-0.633,-1.026,-2.294,-1.804,-1.267,-1.321,-1.517,-1.322,-0.495,-0.942,-1.394,-0.672,2,3,1,2,1,2,3,3,1,2,1,1
country so well it's not really their choices of arriving to judge you Allen and,-1.077,0.224,-0.616,-0.106,-0.795,-0.502,-0.959,-0.983,-0.978,-1.363,-0.624,-0.897,2.604,1.569,-0.827,-1.193,3,3,1,1,1,1,3,3,1,1,2,1
for accepting me more than two point four percent at the moment because currently again once again we,-0.276,0.56,-0.723,0.106,-0.229,-0.431,-0.246,2.58,-1.212,-0.974,-1.453,-1.244,-0.669,-0.607,-0.065,-1.719,3,3,1,1,1,1,3,3,1,1,2,1
to come here but not the yemenis well,-1.508,-1.444,-1.555,-1.388,-0.909,-1.146,-2.507,-1.869,-1.316,-0.134,-1.34,-1.322,0.974,0.034,-1.426,-0.381,3,3,1,1,1,1,4,3,1,1,2,1
the obligation to take refugees and therefore it must take it are they fine for the,-1.412,-1.121,-1.509,-1.255,-0.28,-0.957,-1.764,-1.276,-1.113,-0.842,-1.133,-1.305,0.232,0.309,-1.134,-0.785,3,3,1,1,1,1,3,2,1,1,1,1
those refugees and except on racially different people into their society,-1.349,-1.351,-1.419,-1.215,-0.748,-0.815,-2.003,-1.628,-1.508,-1.475,-1.414,-1.368,-0.354,-0.438,-0.778,-1.758,3,3,1,2,1,1,3,3,1,1,2,1
the main point which is taken into account in some,-1.316,-1.31,-1.283,-1.265,1.221,0.344,-1.475,-1.619,-1.45,-1.372,-1.432,-1.308,0.546,-0.373,-1.645,-1.843,4,4,2,1,2,1,3,3,2,1,2,1
yeah and finally from a legal point of view Korea,-0.766,-1.252,-1.354,-1.161,0.391,-0.211,0.531,-1.034,-1.378,-1.474,-1.297,-1.279,-0.338,-0.738,-1.765,-1.728,4,4,2,1,2,1,2,3,1,1,1,1
I can't cook the crumbs I don't remember the exact words but it says,-1.334,-1.306,-1.31,-1.301,-0.233,-0.415,-0.233,-1.656,-1.664,-1.516,-1.533,-1.421,-0.79,-0.824,-2.145,-1.826,4,3,2,1,2,1,3,3,2,1,1,1
as I said people are homogeneous country so they don't really accept International people from over C,-0.865,-0.014,-0.882,-0.73,3.669,-0.04,0.711,-0.399,-0.238,-0.707,-0.099,-0.785,4.601,2.366,-0.652,-1.073,3,3,1,1,2,1,3,3,1,1,2,1
you jeez I know what,-0.937,0.088,-1.222,-0.901,-0.028,0.041,-0.793,-1.04,-1.069,-1.398,-1.005,-1.307,0.223,0.322,-1.626,-1.64,4,3,1,2,3,1,3,3,1,1,1,1
start interest in Korean and also during which also,-1.445,-1.662,-1.512,-1.429,-0.758,-1.026,-2.184,-1.95,-0.633,-0.441,-0.998,-0.905,1.783,1.401,1.355,-0.748,3,3,2,1,2,1,3,3,2,1,2,1
in myself in Constitution,-1.072,-1.067,-1.221,-1.149,-0.2,-0.107,-0.225,-1.453,-1.025,-1.022,-1.036,-1.252,0.356,0.659,-1.022,-1.291,4,4,2,1,1,1,4,3,1,1,1,1
towards the fact that South Korea is capable of accepting a substantial amount to procure,-1.438,-1.303,-1.401,-1.188,-0.276,-0.673,1.273,-1.643,-1.269,-1.17,-1.334,-1.312,0.489,-0.529,-2.4,-1.045,3,3,1,1,2,1,3,3,1,1,1,1
of the two point two point four percent of the acceptance rate well I want to,-0.661,-0.6,-0.42,-0.745,-0.306,-0.473,0.272,0.022,-1.241,-1.02,-0.87,-1.011,0.071,0.849,-1.049,-0.912,3,3,1,1,2,1,3,3,1,1,1,1
also mentioned that they're already legal legally residing two million foreign people,-1.406,-0.869,-1.315,-0.981,-1.084,-1.002,-1.001,-1.684,-1.095,-0.051,-0.925,-0.748,2.674,0.477,-0.543,-1.289,3,3,1,1,1,1,4,3,1,1,2,1
70 years ago we share the same language we have a very similar culture,-1.467,-1.212,-1.526,-1.355,-0.788,-0.83,-1.303,-0.977,-1.284,-1.483,-1.434,-1.342,-0.204,-0.713,-2.923,-1.916,3,3,1,1,2,1,4,3,2,1,1,1
them while even the Korean people don't have enough jobs and even like the,-0.96,0.124,-1.148,-0.797,1.862,1.239,1.14,-1.063,-1.277,-1.27,-1.151,-1.269,0.07,-0.43,-2.085,-1.487,3,4,1,1,1,1,3,3,1,1,1,1
where do you think the refugee should be taking them,-1.605,-1.429,-1.454,-1.324,-0.267,-0.677,-0.834,-1.87,-1.624,-1.237,-1.417,-1.339,-0.41,-0.91,-2.927,-1.935,3,3,2,1,2,1,3,3,2,1,2,2
terrorism I guess it's a bit I'm a bit biased because I'm from Europe,-1.191,-1.109,-1.308,-1.036,-0.054,-0.649,-0.812,-1.177,-1.115,-1.378,-1.455,-1.247,0.431,-0.375,-1.506,-1.399,3,4,2,2,2,1,3,3,2,1,1,1
like humanitarian approach to accepting people but aside from that we should have like legal institutions,-1.241,-0.863,-1.437,-1.252,-0.742,-1.099,0.447,-0.833,-1.38,-1.482,-1.333,-1.29,-0.847,-1.02,0.343,-1.454,2,3,1,1,2,1,2,3,1,1,1,1
we should be more cautious from the beginning,-1.154,-0.334,-0.877,-0.827,0.728,0.158,-0.444,-0.515,-1.311,-0.843,-1.49,-1.134,-0.732,-0.91,-1.629,-1.535,2,2,2,2,1,1,3,2,1,1,3,2
the majority I speculate that they're not,-1.348,-1.197,-1.214,-0.949,0.545,0.405,-1.014,0.427,-1.408,-1.096,-1.49,-1.28,-0.918,-1.061,-1.612,-1.35,3,3,2,2,2,1,2,3,2,1,2,1
guarantee that they will lead career right,-1.328,-1.568,-1.328,-1.319,-0.12,-0.597,-1.152,-1.741,-1.618,-1.299,-1.443,-1.214,-0.488,-0.807,-1.318,-1.399,4,3,1,2,2,1,3,3,1,1,2,1
do the wrong things what legals illegals or how the government,-1.359,-1.346,-1.291,-1.258,0.495,0.136,-1.047,-1.756,-1.362,-1.397,-1.097,-1.215,1.264,-0.041,-1.722,-1.714,4,3,1,1,1,1,3,3,1,1,2,1
letting the enemies of Jesus Korea is this idea of Koreans come first so if,-1.553,-1.543,-1.552,-1.266,-0.788,-1.057,-1.762,-1.737,-0.554,-1.335,-1.206,-0.576,0.883,0.417,0.697,0.09,2,3,1,1,1,1,2,3,1,1,1,1
into the country with some restrictions and more over than that,-1.459,-1.317,-1.361,-1.311,-0.197,-0.332,-1.674,-1.532,-1.374,-1.412,-1.515,-1.304,-0.213,-0.708,1.421,-1.695,2,3,1,1,1,1,2,4,1,1,2,1
that can refute that and for safety issue,-1.566,-1.368,-1.409,-1.323,-0.09,-0.517,-2.758,-1.991,1.64,0.337,1.476,1.183,10.0,6.861,1.191,-0.109,2,3,1,1,1,1,2,3,1,1,1,1
it's packed that other nations who scientists fashion except ourselves,-0.101,-0.166,0.09,-0.659,-0.304,-0.445,1.272,-0.33,-1.504,-1.269,-1.56,-1.332,-0.752,-0.982,-2.526,-1.722,3,3,1,1,2,1,3,3,1,1,1,1
that the refugees are bringing on to the European societies and therefore the and objection will be,-0.586,-1.246,-1.268,-1.135,-0.041,-0.411,-0.346,-0.936,-0.806,-1.047,-1.178,-0.935,0.154,-0.285,-1.342,-1.154,3,4,1,1,1,1,3,4,1,1,1,1
all from those people from that country because Yemen they actually come from far,-1.596,-1.573,-1.547,-1.425,-1.021,-1.148,-1.194,-1.644,0.757,0.534,0.717,0.778,2.063,1.492,1.347,2.745,2,2,1,1,2,1,3,3,1,1,2,1
but yeah in that process those refugees,-0.921,-0.903,-0.766,-0.536,-0.734,-0.613,0.524,-0.696,-0.369,-0.698,-1.303,-1.168,-0.546,-1.0,-1.342,0.089,3,3,1,1,2,1,3,3,2,1,1,1
is directed straight from the public service cut,-1.205,-0.539,-1.062,-1.122,1.507,1.625,-0.269,-0.843,-1.321,-1.32,-1.468,-1.236,0.072,-0.45,-1.524,-1.189,2,3,1,1,1,1,3,3,1,1,2,1
yeah it's TRUE but that's because it does bi young Matt young male,-1.664,-1.579,-1.561,-1.435,-0.858,-1.158,-2.826,-1.983,-1.154,-0.876,-0.669,-0.983,1.007,-0.402,0.712,-0.677,3,3,1,1,1,1,3,3,1,1,3,1
for for example fishing jobs and cooking jobs which are individual,-1.483,-1.488,-1.562,-1.338,-0.53,-0.894,-2.275,-0.985,-1.656,-1.631,-1.596,-1.392,-0.861,-1.089,-3.063,-2.092,4,4,2,1,2,1,3,3,1,1,2,1
that is a good point on a human rights level the,-1.511,-1.523,-1.54,-1.369,-1.151,-1.208,-2.711,-1.857,-0.991,-1.195,-1.146,-1.013,1.531,0.62,1.589,-1.025,4,3,1,1,1,1,4,3,2,1,1,1
the feel like the looking,-1.368,-1.014,-1.337,-1.315,0.535,0.17,0.071,-1.403,-0.339,0.86,-1.041,0.242,0.05,-0.297,-0.878,-0.459,3,3,2,2,2,2,3,4,3,2,1,2
before but so I think this this is a,-1.401,-1.284,-1.381,-1.404,-0.576,-0.779,-1.844,-1.788,-0.871,-1.084,-1.324,-1.046,0.118,0.198,0.497,-1.422,3,3,2,1,2,1,3,4,2,1,2,1
exactly so I don't think it all but not all of them follow,-1.556,-1.385,-1.381,-1.155,-0.403,-0.042,-1.095,-1.638,-0.109,0.109,-0.565,-0.97,2.259,2.857,-0.278,-0.253,3,3,1,1,2,1,4,3,2,2,2,1
or office jobs they can relax labor employment,-1.381,-1.225,-1.407,-1.28,1.207,-0.397,-0.938,-1.655,-1.034,-0.99,-1.424,-1.138,-0.157,-0.903,-1.212,-1.239,3,3,2,1,3,1,3,3,2,2,2,2
the major blood I think the whole question of you,-1.368,-1.177,-1.336,-1.241,0.358,-0.101,-0.93,-0.614,-1.455,-1.407,-1.482,-1.247,-0.674,-1.059,-0.458,-1.782,3,4,1,2,1,2,3,3,2,1,1,1
so fly you know like like this government you'll provide the you know you're at they,-1.415,-1.315,-1.325,-1.259,0.436,0.065,-0.436,-1.434,-1.048,-0.955,-1.324,-1.091,0.162,-0.672,1.103,-1.148,3,3,2,2,2,2,3,4,3,1,2,2
prioritize what human life but I'm wondering if whether that priority should extend,-0.854,-0.909,-0.843,-0.609,3.805,2.386,-0.152,-0.616,-1.71,-1.556,-1.632,-1.446,-1.127,-1.273,-2.745,-1.9,3,3,1,1,2,1,3,3,1,1,1,1
and I think the statistics show this so,-1.261,-1.242,-0.904,-1.041,2.439,0.131,-0.665,-1.479,-1.507,-1.14,-1.512,-1.309,-0.974,-1.181,-1.742,-1.686,3,3,2,1,2,1,3,3,2,1,2,1
countries which mentioned like Germany which I understand is in a different situation but even so it is still very small,-1.594,-1.382,-1.409,-1.333,-0.267,-0.49,-2.416,-2.008,-1.309,-1.107,-1.403,-1.113,0.02,-0.624,-1.146,-1.55,3,3,2,1,2,1,3,3,2,1,1,1
sure with enough intent the government would be flexible enough to allocate,-0.575,-0.342,-1.041,-1.024,4.152,0.48,-1.152,-0.2,-0.933,-1.099,-1.294,-1.069,-0.003,0.36,-0.698,-0.97,3,3,1,1,2,1,3,3,1,1,1,1
I agree with you with that okay Korean just side of convention in 1991,-1.458,-1.56,-1.406,-1.325,-0.638,-0.788,-2.829,-1.91,-1.331,-1.009,-1.054,-1.164,0.473,-0.349,-0.096,-0.637,3,3,1,1,1,1,3,4,2,1,1,1
how not ready we are as a country to let in these refugees,-1.261,-0.75,-1.056,-0.966,0.989,1.401,0.648,-0.802,-1.687,-1.441,-1.612,-1.442,-0.865,-1.129,-2.709,-1.826,3,3,2,1,1,1,3,3,2,1,2,1
it doesn't it doesn't guarantee that if this country only consists of,-0.95,-0.951,-1.322,-1.278,0.944,0.065,-0.117,-0.618,-1.14,-0.396,-1.405,-1.336,0.707,0.463,-1.325,-1.323,3,3,2,2,2,1,3,3,2,2,2,2
yeah I don't I don't think there's enough Wells for Korean government to support,-0.981,-0.932,-1.267,-1.101,1.061,0.078,0.626,-0.979,-1.523,-1.324,-1.399,-1.226,-0.047,-0.2,-2.805,-1.844,3,3,1,1,2,1,3,3,1,1,1,1
I just put,-1.503,-1.461,-1.487,-1.282,-0.645,-0.718,-2.03,-1.729,-1.589,-1.44,-1.285,-1.218,-0.188,-0.279,-1.884,-1.509,4,4,2,1,3,1,3,4,2,1,2,1
off these people giving these who came to this country came here basically,-0.986,-0.668,-1.145,-0.902,1.63,-0.182,0.357,-0.777,-1.385,-1.478,-1.38,-1.293,-0.524,-0.746,-2.797,-1.777,3,3,1,1,1,1,3,3,1,1,1,1
