new_words,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2
multiculturalism is always good but,440,2,2,0,0,0,0,440,1,2,1,0,1,0,-0.781,-1.086,-1.198,-1.129,-0.219,-0.452,0.144,-0.952,-1.731,-1.657,-1.559,-1.445,-1.213,-1.333,-2.533,-2.097
the problem for me is their,445,2,2,0,0,0,0,445,1,2,1,0,0,0,-1.161,-1.24,-1.249,-1.149,0.698,-0.484,-1.636,-1.861,-1.598,-1.552,-1.242,-1.354,-0.955,-1.204,-1.705,-1.918
main religion I'm not saying Islam are bad people but,450,2,2,0,0,0,0,450,1,2,1,0,0,0,-1.187,-1.232,-1.468,-1.375,-0.051,-0.331,-2.727,-1.899,-1.634,-1.586,-1.516,-1.442,-1.215,-1.379,-1.437,-2.074
there is a minority if Linda do bad thing and they're very dangerous for example for example in,455,2,2,0,0,1,0,455,1,2,1,0,1,0,-1.497,-1.488,-1.373,-1.328,-0.656,-0.948,-2.565,-1.905,-1.507,-1.542,-0.625,-1.362,-0.233,-0.865,-2.813,-2.048
Philippines Unfortunately they were terrorist attack in the South,460,2,2,0,0,1,0,460,1,2,1,0,1,0,-1.497,-1.265,-1.492,-1.348,-0.616,-0.777,-0.295,-1.329,-1.659,-1.587,-1.305,-1.422,-1.002,-1.176,-1.18,-1.999
because Filipinos a Muslim that came from Malaysia,465,2,2,0,0,1,0,465,1,2,1,0,1,0,-1.595,-1.372,-1.455,-1.386,-0.9,-1.157,-2.962,-2.049,-1.593,-1.563,-0.518,-1.292,-0.434,-0.761,-2.987,-2.013
and that at that keep in the mind of,470,2,2,0,0,1,0,470,1,2,1,0,1,0,-1.541,-1.04,-1.303,-1.217,2.3,-0.397,-1.491,-0.914,-1.451,-1.624,-0.25,-1.339,-0.196,-0.536,-3.025,-2.087
people still and that can be dangerous,475,1,2,0,0,0,0,475,1,2,1,0,1,0,-1.556,-1.107,-1.163,-1.312,1.225,0.895,-2.605,-2.006,-1.684,-1.505,-1.248,-1.4,-1.046,-1.236,-2.117,-2.022
you,480,2,2,0,0,0,0,480,1,2,1,0,1,0,-1.595,-1.416,-1.526,-1.338,-0.697,-0.982,-2.784,-2.051,-0.663,-1.233,0.068,-0.899,0.662,0.202,-1.476,-1.734
have mentioned that if these people lives in nearby,485,2,2,0,0,0,0,485,1,2,1,0,1,0,-1.374,-1.516,-1.55,-1.364,-0.44,-0.886,-1.675,-1.868,-1.292,-1.413,-0.429,-1.236,-0.304,-0.845,-2.499,-1.881
resort places it will be bad for the tourists to come on Mason economic but I think that like if they are,490,2,2,0,0,1,0,490,1,2,1,0,1,0,-1.69,-1.505,-1.51,-1.399,0.053,-0.561,-2.789,-2.046,0.024,-0.461,0.631,-1.004,0.271,2.186,-2.082,-1.49
well educated for working in relief resort area and providers night service to them,495,1,2,0,0,1,0,495,1,2,1,0,1,0,-1.453,-1.355,-1.266,-1.26,0.436,-0.262,-2.737,-1.995,-1.746,-1.688,-1.532,-1.485,-1.173,-1.364,-3.081,-2.115
it will be okay and like if they cannot adapt to the kind of stuff I,500,1,2,0,0,0,0,500,1,2,1,0,1,0,-1.514,-1.331,-1.334,-1.173,0.228,-0.491,-2.48,-2.008,-1.399,-1.367,-0.773,-1.364,-0.639,-0.588,-2.378,-1.935
now you may begin okay so I think I will start with,5,1,2,0,0,1,0,5,1,2,0,0,1,0,-1.495,-1.384,-1.479,-1.376,-0.829,-0.991,-1.173,-1.342,-0.959,-0.825,-1.158,-1.21,0.076,-0.035,0.438,-0.177
the fact that Korea is a developed country and the members of you and community members of United,10,2,2,0,0,1,0,10,1,2,0,0,1,0,-1.148,-1.044,-1.241,-0.903,-0.31,-0.894,-1.089,-0.917,-0.587,0.55,-1.063,-0.994,0.861,0.259,0.128,-0.155
Nations and it's also one of the countries who which signed,15,2,2,0,0,1,0,15,1,2,0,0,1,0,-0.578,-0.669,-1.286,-0.691,0.399,-0.249,-0.005,-0.737,-1.225,-1.228,-1.276,-0.979,-0.547,-0.805,0.231,-0.848
Refugee studies International Convention I think Korea has a duty to take part in the global,20,1,2,0,0,1,0,20,1,2,0,0,1,0,-1.428,-1.381,-1.492,-1.263,-0.584,-1.045,-1.015,-1.147,1.144,-0.01,-0.399,-0.618,1.975,1.44,0.56,0.575
effort to deal with this yam and civil Civil War which has been saved as,25,2,2,0,0,1,0,25,1,2,0,0,1,0,-1.437,-1.314,-1.533,-1.388,-0.94,-1.194,-1.188,-1.651,-1.434,-1.277,-1.51,-1.312,-0.599,-0.959,-0.754,-1.498
a one of the most one of the worst human who met humanitarian crisis,30,1,2,0,0,1,0,30,1,2,0,0,1,0,-0.708,-1.047,-1.355,-1.111,-0.631,-0.567,-2.082,-0.753,0.44,-0.871,-0.605,-0.381,-0.136,-0.25,0.921,-0.653
ever experienced in the 20th 21st century and,35,2,2,0,0,1,0,35,1,2,0,0,1,0,-1.149,-1.086,-1.423,-1.183,-0.57,-0.935,-0.557,-1.548,-1.506,-1.602,-1.58,-1.41,-0.716,-1.036,-0.559,-1.791
I think Korea so far participate on a little compared to,40,3,2,0,0,2,0,40,1,2,0,0,0,0,-0.889,-1.145,-1.095,-1.145,0.298,0.006,0.002,-1.347,-1.243,-0.565,-1.342,-1.25,-0.153,-0.34,-0.393,-1.538
"other countries such as Malaysia about 20,000 refugees stayed four 99-year",45,3,2,0,0,2,0,45,1,2,0,0,0,0,-0.905,-0.632,-1.168,-1.075,0.328,-0.369,0.942,-0.242,-1.486,-1.289,-1.533,-1.345,-0.872,-1.094,-1.722,-1.744
in Malaysia and also in Germany there about,50,2,2,0,0,2,0,50,1,2,0,0,0,0,-1.423,-1.425,-1.516,-1.313,-0.843,-0.888,0.145,-1.68,-1.551,-0.885,-1.364,-1.248,-0.73,-1.039,-0.905,-0.772
hundreds thousands of refugees so I'll start with that and,55,3,2,0,0,2,0,55,1,2,0,0,0,0,-1.232,-0.752,-1.215,-1.134,-0.454,-0.555,-0.441,-0.486,-1.376,-0.044,-1.274,-1.2,0.087,-0.273,1.954,-0.745
I also believe that public,60,3,2,0,0,2,0,60,1,2,0,0,0,0,-1.47,-0.656,-1.319,-1.131,-0.1,-0.522,-1.887,-1.529,-1.073,-1.25,-1.342,-1.299,0.135,-0.733,0.573,-1.246
people of Korea mostly use fear and intuition in judging the issue and government,65,3,2,0,0,2,0,65,1,2,0,0,0,0,-1.506,-1.339,-1.28,-1.016,-0.621,-0.811,0.189,-1.296,-1.312,-1.35,-1.364,-1.172,-0.564,-0.79,-0.78,-1.687
have a responsibility to stick with the objective of that and,70,2,2,0,0,1,0,70,1,2,0,0,0,0,-0.66,-0.714,-1.248,-1.054,0.007,-0.245,0.401,-0.807,-1.216,-1.395,-1.238,-1.212,-0.409,-0.652,1.541,-1.306
deal with it more responsibly I think I'll stop them,75,2,2,0,0,1,0,75,1,2,0,0,0,0,-1.491,-0.656,-1.485,-1.342,-0.094,-0.125,-1.999,-1.83,-0.975,-1.148,-1.343,-1.144,0.397,-0.248,0.074,-1.339
here I partly agree with your idea and it's,80,2,2,0,0,1,0,80,1,2,0,0,0,0,-1.259,-1.252,-1.36,-1.145,-0.098,-0.669,-0.144,-1.462,-0.135,0.338,-0.371,-0.834,2.296,1.269,0.519,0.847
not like I'm saying I'm totally against accepting people from you man and he took an example,85,2,2,0,0,1,0,85,1,2,0,0,0,0,-1.517,-1.342,-1.531,-1.323,-0.809,-1.048,-1.621,-1.788,-1.574,-1.349,-1.554,-1.406,-0.892,-1.223,-2.469,-1.854
of Malaysia and Germany but you have to consider that like cultural and the sentiment,90,1,2,0,0,1,0,90,1,2,0,0,0,0,-1.193,-1.209,-1.314,-1.215,-0.73,-0.588,-0.799,-1.599,-1.439,-1.286,-1.528,-1.372,-0.87,-1.098,-1.989,-1.722
is really kind of different because you know Korea is like in your slowly opening,95,2,2,0,0,1,0,95,1,2,0,0,0,0,-0.788,-0.824,-1.373,-1.123,-0.169,-0.124,-0.971,-0.698,-1.229,-1.362,-1.559,-1.201,-0.902,-1.084,-1.95,-1.747
up to mulch Multicultural Concepts and all that so people here,100,1,2,0,0,1,0,100,1,2,0,0,0,0,-1.127,-0.188,-1.238,-0.926,-0.683,-0.948,0.581,-1.597,-0.646,-1.302,-1.137,-1.279,0.137,-0.771,-0.887,-1.492
are very slow conservative about all these issues so I'm not saying that we of this whole,105,1,2,0,0,1,0,105,1,2,0,0,0,0,-1.362,-0.8,-1.442,-1.404,-0.717,-1.091,-0.63,-1.552,-0.912,-1.038,-1.39,-1.244,0.095,0.281,-1.252,-1.442
like humanitarian approach to accepting people but aside from that we should have like legal institutions,110,1,2,0,0,1,0,110,1,2,0,0,0,0,-1.241,-0.863,-1.437,-1.252,-0.742,-1.099,0.447,-0.833,-1.38,-1.482,-1.333,-1.29,-0.847,-1.02,0.343,-1.454
and systematic approach to how to stack people and sort of like integrate these,115,1,2,0,0,0,0,115,1,2,0,0,0,0,-1.421,-0.821,-1.49,-1.361,-1.177,-1.204,-1.475,-1.761,-1.369,-1.469,-1.434,-1.299,-0.681,-0.94,-0.659,-1.744
people into the community so that should be the first assignment in Korean government and,120,1,2,0,0,0,0,120,2,2,0,0,0,0,-1.452,-1.08,-1.469,-1.312,-0.59,-0.917,-1.524,-1.739,-1.075,-1.017,-1.32,-1.102,-0.602,-0.783,0.399,-1.783
I'm not saying that we should just stop accepting all those people because of fear and,125,1,2,0,0,0,0,125,2,2,0,0,0,0,-1.624,-1.452,-1.534,-1.419,-0.699,-1.138,-2.555,-1.916,-1.287,-1.528,-1.343,-1.184,-0.624,-1.034,-0.7,-1.631
intuition and xenophobic phobic is definitely not tolerated but there,130,1,2,0,0,0,0,130,2,2,0,0,0,0,-1.049,-1.36,-1.444,-1.212,0.122,-0.48,-1.159,-1.034,-0.584,-0.478,-1.298,-0.893,-0.256,-0.428,0.241,-1.168
are aside from that there are many problems in Korea as well which are,135,1,2,0,0,0,0,135,2,2,0,0,0,0,-1.476,-1.066,-1.455,-1.304,-0.946,-1.238,-1.683,-1.894,-1.59,-1.576,-1.527,-1.414,-0.872,-1.086,-0.468,-1.648
happening in this country and you know the priority of Korea should be Korean people first so we,140,1,2,0,0,0,0,140,2,2,0,0,0,0,-1.558,-1.386,-1.589,-1.416,-1.021,-1.208,-1.753,-1.883,-1.269,-1.142,-1.473,-1.272,0.112,-0.438,-0.836,-0.77
should put Korean people first and there are diminished I heard that there,145,1,2,0,0,0,0,145,2,2,0,0,0,0,-1.594,-1.231,-1.534,-1.336,-0.781,-1.208,-2.214,-1.831,-1.341,-1.305,-1.438,-1.293,-0.154,-0.64,0.13,-1.745
are diminishing rate of Tours because there are many young men people there so people,150,1,2,0,0,0,0,150,2,2,0,0,0,0,-1.642,-0.938,-1.581,-1.384,-0.497,-0.998,-2.913,-1.649,0.188,-1.041,-1.289,-0.734,0.669,-0.062,1.847,-0.167
kind of feel like well this is not Korea so,155,1,2,0,1,1,0,155,2,2,0,0,0,0,-1.618,-0.985,-1.594,-1.431,-0.931,-1.145,-2.711,-1.899,-0.947,-1.263,-1.45,-1.306,-0.393,-0.458,0.348,-1.716
yes so I think we should consider accepting them in systematic,160,3,2,0,1,1,0,160,2,2,0,0,0,0,-1.635,-1.535,-1.595,-1.425,-0.69,-1.102,-2.224,-1.825,-1.122,-1.097,-1.15,-1.14,0.048,-0.888,0.566,-1.451
manner not just accepting them and humanitarian,165,1,2,0,1,1,0,165,2,2,0,0,0,0,-1.665,-1.475,-1.608,-1.404,-1.092,-1.104,-1.414,-1.938,-1.105,-1.202,-1.438,-1.092,-0.67,-0.784,-0.82,-1.551
okay so I think many of the problems like economic problems,170,1,2,0,1,1,0,170,2,2,0,0,0,0,-1.519,-1.103,-1.536,-1.365,-0.415,-0.906,-2.712,-1.779,-1.302,-1.383,-1.402,-1.252,-0.424,-0.587,0.085,-1.294
Etc when related to the Yemen issue I think it's blown out of proportion,175,1,2,0,1,1,0,175,2,2,0,0,0,0,-1.425,-0.411,-1.404,-0.925,-0.565,-0.857,-0.563,-1.511,-1.409,-1.013,-1.278,-0.865,-0.249,-0.421,0.871,-1.059
because right now the Yemen refugees are only about 500 and it's not,180,1,2,0,1,1,0,180,2,2,0,0,0,0,-1.337,-0.232,-1.088,-0.853,0.683,0.352,-0.237,0.225,-1.207,-1.111,-1.209,-1.088,0.741,-0.157,1.821,-1.404
going to affect too much into the Korean economy and I think increasing,185,1,2,0,1,1,0,185,2,2,0,0,0,0,-1.209,-1.036,-1.462,-1.18,-0.675,-0.68,-1.254,-1.137,-1.135,-1.125,-1.265,-1.196,-0.435,-0.212,-0.615,-1.659
it is it's not going to affect too much into the big scale of the,190,2,2,0,1,1,0,190,2,2,0,0,0,0,-0.947,-1.155,-1.138,-1.027,0.464,-0.381,0.551,-0.379,-1.249,-1.254,-1.466,-1.24,-0.182,-0.855,-0.424,-1.298
Korean economy and also I have doubt that the,195,2,2,0,1,1,0,195,2,2,0,0,0,0,-0.972,-0.991,-1.016,-1.053,0.365,-0.167,-0.398,-1.291,-1.41,-1.063,-1.331,-1.248,-0.031,-0.4,-0.97,-0.891
tourists is affected like tourists Jeju Island to is going to judge you island is affected,200,2,2,0,1,1,0,200,2,2,0,0,0,0,-0.953,-1.085,-1.209,-0.98,0.715,0.596,0.164,-1.372,-1.327,-0.552,-1.348,-1.228,0.826,-0.436,0.645,-0.554
because there are more young people because again the numbers only 500 and also,205,2,2,0,1,0,0,205,2,2,0,0,0,0,-1.51,-1.56,-1.499,-1.292,-0.292,-0.746,-1.52,-1.6,-1.278,-1.011,-1.519,-1.289,-0.43,-1.094,-1.151,-1.593
I think I heard also the case where,210,2,2,1,1,0,0,210,2,2,0,0,0,0,-1.405,-1.379,-1.389,-1.25,-0.004,-0.553,-1.38,-1.17,-1.568,-1.436,-1.482,-1.331,-0.677,-0.879,-2.12,-1.858
there's a murder like a corpse is found and it's,215,2,2,1,1,1,0,215,2,2,0,0,0,0,-1.364,-0.648,-1.074,-1.042,0.4,-0.14,-1.211,-0.965,-0.878,-1.052,-1.347,-1.227,-0.16,-0.687,-0.664,-1.705
like people are saying well this is because of the refugee and everything but it turns out to be FALSE so I think,220,2,2,1,1,1,0,220,2,2,0,0,0,1,-0.684,-0.898,-1.037,-1.15,0.547,-0.095,0.446,-0.193,-1.415,-0.973,-1.501,-1.224,0.129,-0.734,-0.716,-1.004
yeah many of these issues are blown out of proportion yeah,225,2,2,1,1,1,0,225,2,2,0,0,0,1,-1.285,-1.264,-1.376,-1.28,-0.661,-0.954,-1.464,-1.417,-1.097,-1.116,-1.311,-1.124,1.519,-0.15,0.038,-0.844
I think in a condemnation tore,230,2,2,1,1,1,0,230,2,2,0,0,0,1,-1.215,-0.59,-1.263,-1.068,-0.557,-0.43,-1.419,-0.159,-1.513,-0.744,-1.563,-1.372,-0.383,-0.992,-1.368,-1.729
them without any you know sort of justifiable reason is not acceptable and,235,2,2,1,1,1,0,235,2,2,0,0,0,1,-1.651,-1.438,-1.56,-1.381,-0.811,-1.055,-2.792,-2.009,-0.393,0.04,-1.309,-0.938,1.827,-0.14,-0.913,-0.46
you said it's a slow proportion and maybe it is,240,2,2,1,1,1,0,240,2,2,0,0,0,1,-1.579,-1.544,-1.476,-1.419,0.186,-0.435,-2.644,-2.029,-0.812,0.441,-1.33,-0.841,2.505,0.674,-0.005,-1.014
it is small portion proportionate absolute number but I think how,245,2,2,1,1,1,0,245,2,2,0,0,0,1,-1.643,-1.479,-1.568,-1.37,-0.711,-1.052,-2.508,-1.926,-1.042,-1.124,-1.379,-0.597,-0.873,-0.607,0.574,-1.276
people actually feel feel about the number is not small because Korea is,250,2,2,1,1,1,0,250,2,2,0,0,0,1,-1.676,-1.55,-1.57,-1.417,-0.604,-1.097,-2.875,-2.035,-1.213,-1.023,-1.456,-1.192,-0.5,-0.639,-0.563,-1.394
not really that Tidwell you know sort of like living together with people,255,2,2,1,1,1,0,255,2,2,0,0,0,1,-1.574,-1.532,-1.524,-1.415,-0.661,-1.127,-2.97,-2.018,-0.875,-1.073,-1.336,-1.073,-0.422,-0.798,-0.384,-1.091
from different cultures and all that so I'm not and also I read in the news article,260,2,2,1,1,1,0,260,2,2,0,0,0,1,-1.648,-1.591,-1.528,-1.405,-0.634,-1.087,-2.802,-2.075,-1.47,-1.37,-1.561,-1.249,-0.478,-0.958,-0.796,-1.633
that there are not like enough like shelter and like system systems I can,265,2,2,1,1,1,0,265,1,2,0,0,0,1,-1.441,-1.493,-1.51,-1.307,-0.896,-1.176,-2.175,-1.888,-1.431,-1.161,-1.457,-1.349,-0.466,-0.976,-1.227,-1.653
actually provide them provides them like comfort and safety,270,2,2,1,1,1,0,270,1,2,0,0,0,1,-1.623,-1.533,-1.482,-1.402,-0.39,-0.568,-2.968,-2.007,-0.963,-1.062,-1.263,-0.898,-0.092,-0.061,0.276,-1.184
so we should so maybe it's a small proportion but,275,2,2,1,1,1,0,275,1,2,0,0,0,1,-1.594,-1.597,-1.557,-1.433,-0.577,-0.879,-2.91,-2.041,-1.632,-1.459,-1.52,-1.35,-0.719,-1.066,-0.736,-1.872
for now everything is sort of drastic and too soon for Koreans to actually come up with,280,1,2,0,1,0,0,280,2,2,0,1,0,0,-1.496,-1.366,-1.458,-1.361,-0.037,-0.596,-2.921,-1.741,-1.144,-0.977,-1.448,-1.157,0.043,-0.628,-1.406,-1.073
a graph solutions to accept more people so I think maybe slowly accepting,285,1,2,0,1,0,0,285,2,2,0,1,0,0,-1.538,-1.571,-1.523,-1.412,-0.412,-0.803,-3.004,-2.082,-1.421,-1.372,-1.541,-1.348,-0.083,-0.748,0.63,-1.811
them is okay for people to actually get used to their culture and all,290,2,2,0,1,0,0,290,2,2,0,1,0,0,-1.497,-1.55,-1.407,-1.317,-0.572,-0.787,-3.028,-2.022,-1.378,-0.988,-1.452,-1.326,-0.562,-0.771,0.006,-0.267
that and sort of get over the you know hatred and fear to just you know kick,295,2,2,0,1,0,0,295,2,2,0,1,0,0,-1.558,-1.481,-1.537,-1.357,-0.782,-1.015,-2.801,-1.899,-1.394,-1.3,-1.444,-1.309,-0.601,-0.826,-1.224,-1.793
kick kick them out of the country so that is acceptable and,300,2,2,0,1,0,0,300,2,2,0,1,0,0,-1.623,-1.404,-1.531,-1.36,-0.512,-0.949,-2.986,-1.82,-1.157,-1.33,-1.494,-1.298,-0.268,-0.318,-1.077,-1.606
I I sort of agree with people fear because in cases,305,2,2,0,1,0,0,305,2,2,0,1,0,0,-1.61,-1.318,-1.493,-1.402,-0.833,-0.999,-2.094,-1.473,-1.51,-1.339,-1.443,-1.037,0.178,-0.244,-1.2,-1.265
like Germany Peach Germany actually assess accepted a lot of refugees,310,2,2,0,1,0,1,310,2,2,0,1,0,0,-1.607,-1.617,-1.524,-1.426,-0.411,-1.007,-2.93,-2.053,-1.366,-1.257,-1.518,-1.302,-0.604,-0.669,-0.234,-1.758
people from so I really like Merck like right Germany girls,315,1,2,0,1,0,1,315,2,2,0,1,0,0,-1.425,-1.236,-1.471,-1.361,-0.633,-1.026,-2.294,-1.804,-1.267,-1.321,-1.517,-1.322,-0.495,-0.942,-1.394,-0.672
we'll start now okay in my opinions about your,5,1,2,0,0,0,0,5,1,3,1,0,1,0,-1.284,-0.795,-1.193,-1.247,0.965,0.836,0.077,-1.456,0.237,0.308,1.051,-0.441,8.384,4.15,-0.209,0.137
Refugee from Gmail in South Korea at Jeju Islands,10,1,2,0,0,0,0,10,1,3,1,0,1,0,-1.157,-1.072,-0.846,-1.24,2.061,2.232,1.405,-0.996,-1.257,-1.418,-1.321,-1.237,0.985,-0.021,-0.212,-1.495
I think that is would be have some positive,15,1,2,0,0,0,0,15,1,3,1,0,1,0,-1.222,-1.019,-1.381,-1.261,1.088,0.564,-0.168,-1.671,-1.541,-1.268,-1.392,-0.812,0.314,-0.022,-2.355,-1.115
benefits if the Korean government letter reality,20,1,2,0,0,0,0,20,1,3,0,0,1,0,-1.341,-1.383,-1.472,-1.263,0.324,-0.197,-1.685,-1.746,-0.636,-1.153,-1.099,-0.818,0.48,0.784,1.854,-0.796
into the country with some restrictions and more over than that,25,1,2,0,0,0,0,25,1,3,0,0,1,0,-1.459,-1.317,-1.361,-1.311,-0.197,-0.332,-1.674,-1.532,-1.374,-1.412,-1.515,-1.304,-0.213,-0.708,1.421,-1.695
the Koreans has already decided to un Refugee convention,30,1,2,0,0,0,0,30,1,3,0,0,1,0,-1.447,-1.55,-1.551,-1.362,-0.545,-0.875,-0.639,-1.961,-1.595,-1.471,-1.535,-1.398,-0.603,-0.61,-1.02,-1.335
in 1991 22,35,1,2,0,0,0,0,35,1,3,0,0,1,0,-1.196,-0.689,-0.82,-0.956,1.625,1.814,1.098,-1.524,-1.383,-1.593,-1.476,-1.369,-0.877,-1.019,-2.024,-1.793
to approve or to,40,1,2,0,0,0,0,40,1,3,0,0,1,0,-1.107,-0.337,-1.001,-0.798,1.917,2.193,1.74,-0.297,-1.244,-1.322,-0.873,-1.277,0.357,1.006,0.147,-0.766
guarantee the status of refugee in the state something,45,1,2,0,0,0,0,45,1,3,0,0,1,0,-1.369,-1.073,-1.162,-1.043,1.348,0.036,-0.913,-0.976,-1.406,-0.912,-1.12,-1.129,0.93,-0.218,1.027,-1.103
that has and also to compare to another country,50,1,2,0,0,0,0,50,2,3,0,0,1,0,-1.28,-1.568,-1.166,-1.225,0.393,0.208,0.357,-0.949,-1.272,-1.033,-0.884,-1.183,0.298,0.489,-1.068,-1.451
in Europe and Country like Germany does have more very crisis in,55,1,2,0,0,0,0,55,1,3,0,0,0,0,-1.103,-1.052,-1.238,-1.052,0.916,1.125,1.392,-0.685,-1.543,-1.197,-1.46,-1.335,-0.618,-0.808,-1.678,-1.755
the refugee problems or issues more than,60,1,2,0,0,0,0,60,1,3,0,0,0,0,-1.446,-1.473,-1.252,-1.237,0.016,0.252,-1.8,-1.598,-1.347,-0.99,-1.12,-1.249,0.039,-0.432,1.082,-0.896
"700,000 but in Korean agreement is geez is",65,1,2,0,0,0,0,65,1,3,0,0,0,0,-1.49,-1.406,-1.481,-1.338,-0.576,-0.458,-2.023,-1.837,-1.281,-1.23,-1.008,-1.065,0.82,0.171,-1.274,-1.096
only 550 people so it is the first thing that I think,70,2,2,0,0,0,0,70,2,3,0,0,1,0,-1.137,-0.747,-1.114,-1.132,0.303,0.075,-0.812,-1.329,-0.957,-1.425,-1.317,-1.067,-0.481,-0.682,-0.933,-1.687
the Korean government should accept this group of refugees,75,2,2,0,0,0,0,75,2,3,1,0,1,0,-1.584,-1.14,-1.351,-1.368,-0.488,-0.682,-1.713,-1.819,-1.249,-1.254,-1.023,-1.095,0.161,0.277,0.046,-1.698
okay yeah that,80,2,2,0,0,0,0,80,2,3,1,0,0,0,-1.332,-1.19,-1.116,-1.263,-0.118,0.894,-2.553,-1.881,-0.858,-0.781,-1.155,-0.897,0.736,1.066,0.583,-0.797
I agree with you with that okay Korean just side of convention in 1991,85,2,2,0,0,0,0,85,2,3,1,0,0,0,-1.458,-1.56,-1.406,-1.325,-0.638,-0.788,-2.829,-1.91,-1.331,-1.009,-1.054,-1.164,0.473,-0.349,-0.096,-0.637
but I just think that it's like a special,90,2,2,0,0,0,0,90,2,3,1,0,0,0,-1.377,-1.086,-1.309,-1.043,1.634,1.329,-0.718,-1.467,-1.415,-1.076,-1.306,-1.18,-0.239,-0.135,-1.364,-1.402
case for the Koreans who have like their their bodies the is like with the,95,3,2,0,0,0,0,95,2,3,1,0,0,0,-1.253,-1.277,-1.315,-1.043,0.059,-0.438,-0.319,-1.591,-0.795,-1.303,-0.853,-0.968,0.651,0.217,-0.22,-1.187
XO phobia sometimes and they're just like care about the conditioned living,100,3,2,0,0,0,0,100,2,3,1,0,0,0,-0.595,-0.794,-0.795,-0.962,1.109,0.872,-0.724,-1.374,-1.516,-1.31,-1.273,-1.27,0.52,-0.256,-2.006,-1.562
so I think if you think about your population first and there are some so very that,105,3,2,0,0,0,0,105,2,3,1,0,0,0,-0.956,-1.112,-1.378,-1.084,-0.009,0.978,0.269,-1.298,-1.342,-1.445,-1.268,-1.141,0.515,-0.352,-2.152,-1.776
have or these away that there are more populous proportion of,110,3,2,0,0,0,0,110,2,3,1,0,0,0,-0.838,-0.74,-0.965,-1.186,1.564,1.269,0.596,-1.246,0.612,0.057,-0.747,-0.941,1.693,1.69,0.37,-0.536
Korean population so I just thing that if you just,115,3,2,0,0,0,0,115,2,3,1,0,0,0,-1.219,-1.466,-1.3,-1.106,1.536,1.413,-1.367,-1.21,-1.485,-0.752,-1.524,-1.266,1.456,0.412,-1.169,-0.925
do four follow the convention is,120,3,2,0,0,1,0,120,3,3,1,0,0,0,-1.251,-1.219,-1.295,-1.111,1.078,0.279,0.205,-0.898,-1.498,-1.334,-1.136,-1.164,0.344,0.041,-0.748,-1.869
not the best way to be the good just for the country,125,3,2,0,0,1,0,125,3,3,1,0,1,0,-0.593,-0.878,-1.074,-0.926,2.538,3.267,0.512,1.924,-1.42,-1.468,-1.303,-1.285,1.788,0.26,-0.915,-1.502
but you have to look and take care your place and also it was like,130,3,2,0,0,1,0,130,3,3,1,0,1,0,-0.989,-0.696,-1.006,-1.156,1.525,1.378,-1.287,-0.485,-1.261,-1.456,-1.296,-1.223,0.711,0.024,0.132,-1.552
if you listen your people first,135,2,2,0,0,1,0,135,3,3,1,0,1,0,-0.999,-0.734,-1.231,-1.292,0.62,0.189,-1.293,-1.571,-0.373,-1.35,-0.133,-0.552,1.498,1.129,0.167,-1.139
it will be good so I think it's not good if we accept all,140,2,2,0,0,1,0,140,3,3,1,0,1,0,-0.034,0.884,-0.993,-0.81,2.887,3.138,-0.963,-0.366,-1.082,-0.998,-1.216,-1.145,0.143,-0.223,-1.714,-1.612
yemenis gratuities at Jeju Island yeah but,145,2,2,0,0,1,0,145,2,2,0,0,1,0,-0.69,-0.017,-1.012,-0.916,3.051,2.624,1.351,-0.317,-1.396,-1.135,-1.382,-1.264,-0.528,-0.74,-2.372,-1.616
I think do appropriate of the,150,2,2,0,0,1,0,150,2,2,0,0,1,0,-1.28,-1.424,-1.34,-1.265,0.202,-0.579,-1.103,-1.761,-1.173,-1.204,-1.087,-1.064,1.33,0.173,0.387,-1.552
refugees in Korean butter with your vested actually is just,155,2,2,1,0,1,0,155,2,2,0,0,1,0,-1.244,-1.059,-1.149,-1.22,0.809,1.054,0.457,-0.904,-1.603,-1.392,-1.484,-1.254,1.017,-0.442,-1.957,-1.554
2.40% from 1994 the sin that,160,2,2,1,0,1,0,160,2,2,1,0,1,0,-1.457,-1.505,-1.441,-1.221,0.052,-0.601,-2.337,-1.729,-1.328,-1.523,-1.424,-1.193,-0.508,-0.164,-1.188,-1.572
the first time that Korea and South Korean government except the a refugee and,165,2,2,1,0,1,0,165,2,2,1,0,1,0,-1.509,-1.288,-1.418,-1.279,0.366,-0.357,-1.415,-1.565,-1.521,-0.914,-1.394,-1.367,0.364,-0.204,-1.462,-1.094
but actually it's fun up to none up until now the,170,2,2,1,0,1,0,170,2,2,0,0,1,0,-1.417,-1.191,-1.38,-1.264,0.339,-0.494,-1.254,-1.797,-1.4,-1.145,-1.104,-1.232,1.231,0.36,-1.114,-1.567
government also consider walls of the South Korean citizens and,175,2,2,1,0,1,0,175,2,2,0,0,2,0,-1.576,-1.199,-1.422,-1.414,-0.37,-0.228,-0.141,-1.749,-0.699,-0.936,-1.104,-0.955,1.721,0.49,-0.446,-1.195
